year,month,date,indicator
1941,3,Mar-41,99.29353814
1941,4,Apr-41,99.44681319
1941,5,May-41,99.64369157
1941,6,Jun-41,99.02439307
1941,7,Jul-41,99.36832433
1941,8,Aug-41,99.8105835
1941,9,Sep-41,99.51204034
1941,10,Oct-41,99.80737516
1941,11,Nov-41,99.31649617
1941,12,Dec-41,99.74288776
1942,1,Jan-42,100.4417029
1942,2,Feb-42,100.4405117
1942,3,Mar-42,99.86149416
1942,4,Apr-42,100.4006166
1942,5,May-42,99.94861676
1942,6,Jun-42,99.87735547
1942,7,Jul-42,100.1454782
1942,8,Aug-42,100.0966135
1942,9,Sep-42,99.8397838
1942,10,Oct-42,99.53939097
1942,11,Nov-42,99.56707006
1942,12,Dec-42,99.65880018
1943,1,Jan-43,100.2123906
1943,2,Feb-43,101.07237
1943,3,Mar-43,99.89003356
1943,4,Apr-43,100.1572509
1943,5,May-43,99.56735009
1943,6,Jun-43,99.80449014
1943,7,Jul-43,99.80674882
1943,8,Aug-43,100.0625092
1943,9,Sep-43,100.1364095
1943,10,Oct-43,100.2083146
1943,11,Nov-43,99.7094802
1943,12,Dec-43,99.91685219
1944,1,Jan-44,100.3596161
1944,2,Feb-44,100.4376326
1944,3,Mar-44,99.85540195
1944,4,Apr-44,99.13867318
1944,5,May-44,99.78595001
1944,6,Jun-44,100.1158462
1944,7,Jul-44,100.1082943
1944,8,Aug-44,99.64975699
1944,9,Sep-44,99.87968153
1944,10,Oct-44,99.97867983
1944,11,Nov-44,100.4569832
1944,12,Dec-44,100.1656968
1945,1,Jan-45,99.54530002
1945,2,Feb-45,99.73518686
1945,3,Mar-45,100.1067432
1945,4,Apr-45,99.8575582
1945,5,May-45,100.3827458
1945,6,Jun-45,100.5261835
1945,7,Jul-45,100.0046869
1945,8,Aug-45,99.61426527
1945,9,Sep-45,99.40915242
1945,10,Oct-45,99.81082419
1945,11,Nov-45,99.2373062
1945,12,Dec-45,99.71320494
1946,1,Jan-46,99.82012479
1946,2,Feb-46,100.0572402
1946,3,Mar-46,99.77778893
1946,4,Apr-46,99.33664078
1946,5,May-46,100.6657434
1946,6,Jun-46,99.64857438
1946,7,Jul-46,99.57974612
1946,8,Aug-46,99.79387402
1946,9,Sep-46,99.75016487
1946,10,Oct-46,99.76122846
1946,11,Nov-46,99.76822952
1946,12,Dec-46,99.88299281
1947,1,Jan-47,100.1749478
1947,2,Feb-47,100.2190405
1947,3,Mar-47,100.1442218
1947,4,Apr-47,100.2063798
1947,5,May-47,100.7819387
1947,6,Jun-47,99.79238604
1947,7,Jul-47,99.89625039
1947,8,Aug-47,100.0387602
1947,9,Sep-47,99.83793949
1947,10,Oct-47,99.78577244
1947,11,Nov-47,99.68332204
1947,12,Dec-47,100.1977932
1948,1,Jan-48,100.3125043
1948,2,Feb-48,100.1158166
1948,3,Mar-48,99.93141789
1948,4,Apr-48,99.434259
1948,5,May-48,99.37392336
1948,6,Jun-48,99.12574134
1948,7,Jul-48,99.06538434
1948,8,Aug-48,99.74271059
1948,9,Sep-48,99.27912036
1948,10,Oct-48,99.50471703
1948,11,Nov-48,99.19309011
1948,12,Dec-48,99.54175016
1949,1,Jan-49,99.79495005
1949,2,Feb-49,99.71518426
1949,3,Mar-49,99.40281916
1949,4,Apr-49,99.39063252
1949,5,May-49,99.7389248
1949,6,Jun-49,99.80982453
1949,7,Jul-49,99.82497503
1949,8,Aug-49,99.82283484
1949,9,Sep-49,99.59330282
1949,10,Oct-49,99.65228884
1949,11,Nov-49,99.30728507
1949,12,Dec-49,98.95459174
1950,1,Jan-50,99.56425837
1950,2,Feb-50,99.35507863
1950,3,Mar-50,99.42821429
1950,4,Apr-50,99.2015398
1950,5,May-50,99.47089173
1950,6,Jun-50,99.47575165
1950,7,Jul-50,99.21875349
1950,8,Aug-50,98.96212756
1950,9,Sep-50,99.23518964
1950,10,Oct-50,99.39532404
1950,11,Nov-50,99.27413566
1950,12,Dec-50,99.16576595
1951,1,Jan-51,99.28726263
1951,2,Feb-51,99.58542312
1951,3,Mar-51,99.46963097
1951,4,Apr-51,99.11203573
1951,5,May-51,99.29108995
1951,6,Jun-51,99.22638086
1951,7,Jul-51,99.2024546
1951,8,Aug-51,99.21034741
1951,9,Sep-51,98.90718533
1951,10,Oct-51,98.99342884
1951,11,Nov-51,99.11016256
1951,12,Dec-51,98.70087219
1952,1,Jan-52,99.53745936
1952,2,Feb-52,99.39908768
1952,3,Mar-52,99.6392185
1952,4,Apr-52,99.27941098
1952,5,May-52,99.37105193
1952,6,Jun-52,99.02097894
1952,7,Jul-52,99.14192132
1952,8,Aug-52,99.44555486
1952,9,Sep-52,99.42974194
1952,10,Oct-52,99.00938763
1952,11,Nov-52,98.69129361
1952,12,Dec-52,99.30369875
1953,1,Jan-53,99.0378938
1953,2,Feb-53,99.21783671
1953,3,Mar-53,98.90753062
1953,4,Apr-53,99.29786882
1953,5,May-53,99.07862238
1953,6,Jun-53,99.6809794
1953,7,Jul-53,99.19941865
1953,8,Aug-53,99.07643015
1953,9,Sep-53,99.11127891
1953,10,Oct-53,98.97664392
1953,11,Nov-53,98.6994621
1953,12,Dec-53,98.86753872
1954,1,Jan-54,98.96784036
1954,2,Feb-54,99.71845384
1954,3,Mar-54,99.20479852
1954,4,Apr-54,99.30061027
1954,5,May-54,98.69328664
1954,6,Jun-54,98.79943526
1954,7,Jul-54,98.89011239
1954,8,Aug-54,98.9552496
1954,9,Sep-54,99.09413055
1954,10,Oct-54,98.76521552
1954,11,Nov-54,98.5624476
1954,12,Dec-54,99.16477743
1955,1,Jan-55,99.21820293
1955,2,Feb-55,98.79951702
1955,3,Mar-55,99.16751488
1955,4,Apr-55,98.60755116
1955,5,May-55,98.88771973
1955,6,Jun-55,98.6876371
1955,7,Jul-55,98.96531512
1955,8,Aug-55,99.1470986
1955,9,Sep-55,98.93794224
1955,10,Oct-55,98.59920684
1955,11,Nov-55,98.89606586
1955,12,Dec-55,98.94180596
1956,1,Jan-56,98.85524882
1956,2,Feb-56,99.18733652
1956,3,Mar-56,98.70185291
1956,4,Apr-56,98.73315866
1956,5,May-56,98.52526149
1956,6,Jun-56,98.90801864
1956,7,Jul-56,98.74880647
1956,8,Aug-56,98.93151215
1956,9,Sep-56,98.68215499
1956,10,Oct-56,98.5124435
1956,11,Nov-56,98.61330545
1956,12,Dec-56,98.85869489
1957,1,Jan-57,99.02633093
1957,2,Feb-57,99.04851845
1957,3,Mar-57,98.93851533
1957,4,Apr-57,98.941633
1957,5,May-57,98.96271705
1957,6,Jun-57,99.00016487
